iter	Passed	Remaining
0	142	142850
1	146	73286
2	151	50196
3	154	38507
4	156	31225
5	162	26874
6	167	23758
7	172	21345
8	176	19433
9	180	17852
10	184	16548
11	185	15312
12	189	14415
13	195	13745
14	198	13024
15	201	12391
16	204	11839
17	208	11385
18	213	11037
19	216	10617
20	219	10232
21	223	9932
22	227	9648
23	230	9384
24	233	9091
25	234	8786
26	236	8533
27	240	8364
28	243	8163
29	244	7916
30	247	7740
31	250	7587
32	254	7459
33	257	7314
34	260	7173
35	262	7030
36	265	6912
37	267	6779
38	270	6664
39	272	6547
40	275	6439
41	277	6339
42	280	6240
43	281	6111
44	284	6035
45	287	5956
46	289	5877
47	292	5802
48	295	5726
49	297	5657
50	298	5558
51	301	5499
52	304	5433
53	306	5370
54	308	5297
55	310	5241
56	313	5187
57	314	5105
58	317	5062
59	319	5012
60	321	4949
61	324	4904
62	325	4845
63	328	4801
64	332	4778
65	335	4740
66	337	4704
67	340	4668
68	343	4633
69	344	4575
70	347	4543
71	349	4509
72	352	4476
73	353	4425
74	355	4383
75	358	4362
76	362	4347
77	366	4330
78	370	4325
79	374	4309
80	377	4285
81	380	4259
82	384	4242
83	386	4218
84	389	4196
85	392	4174
86	396	4156
87	398	4131
88	401	4107
89	402	4066
90	403	4030
91	406	4008
92	409	3989
93	411	3970
94	414	3949
95	417	3932
96	419	3904
97	422	3884
98	425	3872
99	428	3853
100	431	3839
101	434	3825
102	437	3810
103	440	3794
104	443	3777
105	445	3759
106	448	3742
107	451	3727
108	453	3709
109	456	3695
110	459	3682
111	462	3669
112	465	3654
113	468	3640
114	472	3632
115	475	3622
116	478	3610
117	481	3601
118	485	3590
119	487	3578
120	491	3570
121	494	3558
122	497	3546
123	501	3543
124	505	3540
125	509	3532
126	512	3524
127	516	3516
128	520	3513
129	524	3507
130	527	3500
131	531	3492
132	535	3491
133	538	3481
134	542	3472
135	545	3466
136	550	3467
137	554	3460
138	557	3454
139	561	3446
140	565	3442
141	568	3435
142	571	3426
143	574	3416
144	578	3409
145	581	3402
146	585	3395
147	588	3387
148	591	3377
149	594	3367
150	597	3359
151	601	3354
152	604	3345
153	607	3336
154	609	3325
155	613	3318
156	616	3309
157	619	3301
158	622	3291
159	624	3281
160	628	3273
161	631	3264
162	633	3255
163	636	3246
164	639	3236
165	642	3225
166	645	3218
167	649	3216
168	652	3207
169	655	3200
170	658	3193
171	662	3187
172	665	3180
173	668	3172
174	671	3163
175	673	3154
176	676	3145
177	679	3136
178	682	3129
179	685	3121
180	687	3112
181	690	3105
182	693	3098
183	696	3090
184	699	3081
185	702	3074
186	705	3067
187	708	3060
188	712	3058
189	715	3051
190	718	3044
191	721	3037
192	724	3030
193	728	3025
194	731	3020
195	734	3014
196	738	3010
197	741	3005
198	745	3000
199	748	2993
200	752	2989
201	756	2987
202	759	2980
203	761	2972
204	764	2965
205	767	2957
206	770	2951
207	773	2946
208	776	2940
209	779	2931
210	781	2923
211	784	2915
212	787	2908
213	789	2900
214	791	2889
215	793	2880
216	796	2872
217	798	2864
218	801	2857
219	803	2849
220	806	2841
221	808	2833
222	810	2824
223	812	2816
224	815	2809
225	818	2802
226	820	2793
227	823	2787
228	825	2778
229	827	2771
230	830	2764
231	833	2758
232	835	2751
233	838	2743
234	840	2735
235	842	2728
236	845	2723
237	848	2717
238	851	2710
239	853	2703
240	856	2696
241	858	2688
242	860	2681
243	863	2676
244	866	2669
245	868	2662
246	870	2655
247	873	2647
248	875	2641
249	878	2635
250	881	2629
251	883	2622
252	886	2616
253	888	2609
254	890	2602
255	893	2595
256	896	2591
257	898	2585
258	901	2578
259	903	2571
260	905	2564
261	908	2558
262	911	2553
263	913	2547
264	915	2540
265	918	2533
266	920	2527
267	922	2520
268	925	2514
269	927	2507
270	930	2502
271	932	2495
272	935	2490
273	938	2485
274	940	2480
275	944	2477
276	976	2549
277	979	2543
278	983	2541
279	987	2539
280	990	2534
281	993	2529
282	995	2522
283	997	2516
284	1000	2509
285	1002	2502
286	1005	2497
287	1007	2491
288	1010	2485
289	1012	2478
290	1014	2472
291	1016	2465
292	1019	2459
293	1022	2454
294	1024	2448
295	1026	2441
296	1028	2435
297	1031	2428
298	1033	2422
299	1035	2416
300	1038	2411
301	1041	2406
302	1044	2401
303	1046	2395
304	1048	2388
305	1050	2383
306	1053	2378
307	1056	2372
308	1058	2367
309	1060	2361
310	1063	2355
311	1065	2348
312	1067	2342
313	1070	2339
314	1073	2334
315	1075	2328
316	1078	2323
317	1080	2317
318	1082	2311
319	1086	2307
320	1088	2303
321	1091	2299
322	1094	2293
323	1096	2287
324	1098	2282
325	1101	2277
326	1103	2271
327	1106	2266
328	1108	2261
329	1111	2255
330	1113	2250
331	1116	2247
332	1119	2241
333	1121	2236
334	1124	2231
335	1126	2226
336	1129	2222
337	1133	2219
338	1136	2215
339	1139	2211
340	1142	2207
341	1145	2203
342	1149	2202
343	1152	2197
344	1155	2194
345	1157	2188
346	1160	2184
347	1164	2180
348	1167	2177
349	1169	2172
350	1171	2166
351	1174	2162
352	1176	2156
353	1181	2156
354	1184	2151
355	1186	2146
356	1189	2141
357	1191	2137
358	1196	2137
359	1199	2132
360	1201	2127
361	1204	2122
362	1206	2117
363	1211	2116
364	1214	2112
365	1217	2108
366	1221	2106
367	1227	2107
368	1230	2103
369	1233	2100
370	1236	2096
371	1240	2093
372	1245	2092
373	1248	2089
374	1251	2085
375	1253	2080
376	1259	2081
377	1262	2077
378	1265	2073
379	1268	2069
380	1272	2067
381	1276	2065
382	1279	2062
383	1282	2057
384	1285	2054
385	1291	2053
386	1294	2049
387	1296	2045
388	1299	2041
389	1303	2039
390	1307	2036
391	1310	2032
392	1313	2028
393	1315	2023
394	1320	2022
395	1324	2020
396	1327	2016
397	1330	2012
398	1333	2009
399	1338	2007
400	1341	2003
401	1345	2001
402	1348	1997
403	1353	1996
404	1357	1993
405	1359	1989
406	1362	1985
407	1366	1983
408	1370	1980
409	1373	1976
410	1376	1972
411	1378	1967
412	1383	1965
413	1385	1961
414	1387	1956
415	1389	1951
416	1392	1946
417	1394	1941
418	1398	1939
419	1401	1935
420	1403	1930
421	1405	1925
422	1408	1920
423	1410	1916
424	1415	1914
425	1417	1910
426	1420	1905
427	1422	1900
428	1424	1896
429	1427	1891
430	1431	1890
431	1434	1885
432	1436	1880
433	1438	1876
434	1441	1871
435	1443	1867
436	1447	1865
437	1449	1860
438	1452	1855
439	1454	1850
440	1457	1847
441	1463	1847
442	1465	1843
443	1468	1838
444	1471	1835
445	1475	1832
446	1480	1831
447	1483	1828
448	1486	1824
449	1490	1821
450	1496	1821
451	1499	1817
452	1503	1815
453	1508	1814
454	1512	1812
455	1517	1809
456	1520	1806
457	1526	1806
458	1530	1803
459	1533	1800
460	1536	1796
461	1542	1796
462	1546	1793
463	1549	1790
464	1553	1787
465	1559	1786
466	1562	1783
467	1565	1779
468	1569	1776
469	1573	1773
470	1576	1770
471	1579	1766
472	1582	1763
473	1586	1760
474	1591	1759
475	1594	1755
476	1597	1751
477	1601	1749
478	1605	1746
479	1608	1742
480	1611	1739
481	1615	1735
482	1619	1733
483	1623	1730
484	1626	1726
485	1629	1723
486	1634	1721
487	1638	1718
488	1641	1715
489	1644	1711
490	1649	1709
491	1654	1708
